"method_id","hypothesis","outcome","predictor","expected_direction","test_sidedness","estimate","hac_standard_error","observed_statistic","bootstrap_p_value","ci_lower","ci_upper","bootstrap_replications","bootstrap_exceedances","monte_carlo_standard_error","monte_carlo_ci_lower","monte_carlo_ci_upper","direction_pass","verdict","holm_adjusted_p_value","component_verdict"
"P4-METHOD-2026-08-04-v3","H1","affiliation_recognizability","party_brand_index_10","positive","two_sided",0.0599088617778148,0.0249673729255675,2.39948599944474,9.99900009999e-05,0.0360064368552509,0.0891777484719523,10000,0,9.99900009999e-05,0,0.000368819914618762,TRUE,"SUPPORTED",,
"P4-METHOD-2026-08-04-v3","H2","conditional_psi","party_brand_index_10","positive","two_sided",0.00674005108995825,0.00495466700633426,1.36034391036602,0.0196980301969803,0.000548840296977599,0.0115636018237188,10000,196,0.00138960490080235,0.0169736827501231,0.0225110797843205,TRUE,"SUPPORTED",,
"P4-METHOD-2026-08-04-v3","H3","observed_unconditional_psi","party_brand_index_10","positive","two_sided",0.0140711268871749,0.00591998570418173,2.3768852815363,9.99900009999e-05,0.00838690005311328,0.0203381606265492,10000,0,9.99900009999e-05,0,0.000368819914618762,TRUE,"SUPPORTED",,
"P4-METHOD-2026-08-04-v3","H4a","ingroup_self_positioning","party_brand_index_10","positive","two_sided",0.0016111180279739,0.00284827975198018,0.565645992762409,0.280571942805719,-0.00134993041591906,0.00445667889728373,10000,2805,0.00449278674895597,0.271709930464868,0.28941806584251,TRUE,"NOT_SUPPORTED",0.561143885611439,
"P4-METHOD-2026-08-04-v3","H4b","emotional_intensity","party_brand_index_10","positive","two_sided",0.00742027258164868,0.00552826459159416,1.34224266199765,0.0621937806219378,-0.000732141106585471,0.0147329461661518,10000,621,0.00241507172303201,0.057447947249464,0.0670090340488818,TRUE,"NOT_SUPPORTED",0.248775122487751,
"P4-METHOD-2026-08-04-v3","H4c","outgroup_construction","party_brand_index_10","positive","two_sided",0.0111887626602503,0.0118241076234693,0.946266984075998,0.0780921907809219,-0.00189522726849057,0.0225661802988483,10000,780,0.00268316605002296,0.0728173953947946,0.0834299161337989,TRUE,"NOT_SUPPORTED",0.248775122487751,
"P4-METHOD-2026-08-04-v3","H4_component_heterogeneity","component_slope_equality","party_brand_index_10","nondirectional","two_sided_joint",,,0.681679910697364,0.47025297470253,,,10000,4702,0.00499114330074735,0.460377479100492,0.480039885166467,TRUE,"NOT_HETEROGENEOUS",0.561143885611439,
"P4-METHOD-2026-08-04-v3","H5a","republican_skew","q1_stance_republican_10","positive","two_sided",-0.0271524377696163,0.00789298901793384,-3.44007038498631,0.0001999800019998,-0.0387047762393262,-0.0119201259460683,10000,1,0.000141400144978214,2.53177759347469e-06,0.000557036997947047,FALSE,,,"FAILS_H5_COMPONENT"
"P4-METHOD-2026-08-04-v3","H5b","democratic_skew","q1_stance_democratic_10","positive","two_sided",0.0593995003557773,0.0311522520924987,1.90674819205384,0.000999900009999,0.035329847595898,0.0957469945341876,10000,9,0.000316053826107042,0.000411617272277444,0.00170778975226636,TRUE,,,"PASSES_H5_COMPONENT"
"P4-METHOD-2026-08-04-v3","H6","monthly_conditional_psi_direction_slope","party_brand_index_10","nondirectional","two_sided",-0.00642148048845869,0.00267882511916166,-2.39712568115245,0.0011998800119988,-0.0102994717544043,-0.00270795815968032,10000,11,0.000346184965005069,0.000549239884692365,0.0019673494805419,TRUE,"SUPPORTED",,
